GPE 3d  N=64^3  L=32  dx=0.500  d=6  a=1  dt=0.02;  xi = 1, c = 1, Gamma = 2pi;  imaginary-time relax 1.0;  setup 2s
E_total 946.73606 = E_ki 578.72024 + E_kc 14.79088 + E_q 114.30217 + E_int 242.75339  (decomposition residual 4.0e-03)
   t     E_tot rel err    E_ki       E_kc       E_q        E_int     seam gap   slices cut by all 4   L1 line length
 15.0   -1.29e-06       600.59325    15.93435    119.09155    206.72696      0.36        0.984                172.0   (46s)
 15.3   -1.30e-06       601.01162    15.62364    117.99769    206.20158      1.00        0.953                168.0   (46s)
 15.5   -1.30e-06       601.63658    15.47440    117.65191    205.77408      0.50        0.953                168.0   (47s)
 15.8   -1.28e-06       601.94637    15.62973    118.16545    205.35350      1.35        0.922                164.0   (48s)
 16.0   -1.24e-06       602.20123    16.41926    119.11072    204.95400      1.21        0.922                164.0   (48s)
 16.3   -1.21e-06       602.62880    16.99801    119.80192    204.42483      1.06        0.922                164.0   (49s)
 16.5   -1.18e-06       603.41056    16.74477    120.24190    203.77251      0.81        0.922                164.0   (50s)
 16.8   -1.17e-06       604.33908    17.02307    120.67510    202.82881      0.29        0.922                168.0   (51s)
 17.0   -1.18e-06       605.60096    17.50733    120.60493    201.71733      1.69        0.891                164.0   (51s)
 17.3   -1.22e-06       607.03809    18.59154    120.33181    200.27906      1.59        0.891                164.0   (52s)
 17.5   -1.27e-06       607.78732    19.38369    119.39864    198.81174      1.41        0.891                168.0   (53s)
 17.8   -1.32e-06       608.88920    20.53375    118.63277    197.19068      1.23        0.891                168.0   (53s)
 18.0   -1.35e-06       609.78353    21.44415    118.08994    195.76394      1.06        0.891                160.0   (54s)
 18.3   -1.35e-06       610.50430    22.21523    117.92717    194.35926      0.68        0.891                160.0   (55s)
 18.5   -1.35e-06       611.39968    22.69574    117.57060    193.20838      0.08        0.891                164.0   (55s)
 18.8   -1.34e-06       612.87967    22.62972    116.32009    192.10675      2.15        0.859                160.0   (56s)
 19.0   -1.34e-06       614.03852    22.83175    115.10319    191.20985      2.08        0.859                160.0   (57s)
 19.3   -1.35e-06       615.25470    23.03893    114.28348    190.37008      2.00        0.859                160.0   (58s)
 19.5   -1.36e-06       616.02234    23.11642    112.93577    189.73624      1.79        0.859                160.0   (58s)
 19.8   -1.36e-06       616.80349    22.92195    112.77329    189.22885      1.54        0.859                160.0   (59s)
 20.0   -1.35e-06       617.45917    22.58629    113.77524    188.93419      1.30        0.859                160.0   (60s)
 20.3   -1.33e-06       618.69255    21.95821    115.27126    188.78682      1.03        0.859                164.0   (61s)
 20.5   -1.31e-06       619.19774    21.40377    114.75628    188.77709      0.16        0.859                164.0   (61s)
 20.8   -1.28e-06       619.96579    20.62005    113.65614    188.85799      2.86        0.828                160.0   (62s)
 21.0   -1.26e-06       620.55726    20.12513    113.35625    188.97892      2.78        0.828                160.0   (63s)
 21.3   -1.25e-06       620.90677    19.98421    113.83955    189.13041      2.69        0.828                160.0   (63s)
 21.5   -1.26e-06       621.03449    19.94254    113.99072    189.28300      2.60        0.828                160.0   (64s)
 21.8   -1.28e-06       620.73238    19.96837    113.45914    189.48614      2.45        0.828                160.0   (65s)
 22.0   -1.29e-06       620.10673    20.22815    113.54404    189.75233      2.32        0.828                160.0   (66s)
 22.3   -1.30e-06       619.04223    20.82023    114.48515    190.17660      2.22        0.828                160.0   (66s)
 22.5   -1.30e-06       617.73714    21.52546    116.10437    190.72438      2.16        0.828                164.0   (67s)
 22.8   -1.29e-06       616.20624    22.06846    118.20497    191.49829      2.14        0.828                164.0   (68s)
 23.0   -1.27e-06       615.07908    22.07502    119.77241    192.36708      2.16        0.828                168.0   (68s)
 23.3   -1.24e-06       613.97210    21.95415    120.58407    193.44595      2.21        0.828                168.0   (69s)
 23.5   -1.23e-06       612.90839    21.64107    120.51853    194.54229      2.25        0.828                168.0   (70s)
 23.8   -1.20e-06       611.79545    21.21904    119.55426    195.81301      2.30        0.828                172.0   (71s)
